Constituents (Atomic Number : Fraction by Weight)

 Z=1	: 1.000000

Edge 	Photon Energy 	Scattering 	Photoelectric Absorption 	Pair
Production 	Total Attenuation
Coherent 	Incoherent 	In Nuclear Field 	In Electron Field 	With Coherent
Scattering 	Without Coherent Scattering
MeV	cm2/g	cm2/g	cm2/g	cm2/g	cm2/g	cm2/g	cm2/g
BEGIN:
       4.739E-01 1.23E-05 1.77E-01 6.87E-09 0.00E+00 0.00E+00 1.77E-01 1.77E-01
       5.203E-01 1.02E-05 1.70E-01 5.33E-09 0.00E+00 0.00E+00 1.70E-01 1.70E-01
       5.712E-01 8.47E-06 1.63E-01 4.17E-09 0.00E+00 0.00E+00 1.63E-01 1.63E-01
       6.270E-01 7.03E-06 1.57E-01 3.30E-09 0.00E+00 0.00E+00 1.57E-01 1.57E-01
       6.884E-01 5.83E-06 1.50E-01 2.63E-09 0.00E+00 0.00E+00 1.50E-01 1.50E-01
       7.558E-01 4.84E-06 1.44E-01 2.12E-09 0.00E+00 0.00E+00 1.44E-01 1.44E-01
       8.297E-01 4.01E-06 1.38E-01 1.72E-09 0.00E+00 0.00E+00 1.38E-01 1.38E-01
       9.109E-01 3.33E-06 1.32E-01 1.41E-09 0.00E+00 0.00E+00 1.32E-01 1.32E-01
       1.000E+00 2.76E-06 1.26E-01 1.17E-09 0.00E+00 0.00E+00 1.26E-01 1.26E-01


